commit_hash,files_changed,lines_added,lines_deleted,message_length,label_bugfix,lines_changed,change_density,is_large_commit,is_small_commit
854e0e26d16408760072308c44b9160a9fb39abd,3.0,9.0,3.0,48.0,1,12.0,4.0,0,0
a5421c29acb6bfbd095dbeb4c8180a61bd1d4dab,1.0,15.0,0.0,32.0,0,15.0,15.0,0,0
cbcd15c3b55cfb05f1b27aa2343f909876f8d3d4,7.0,98.0,41.0,55.0,0,139.0,19.857142857142858,0,0
aa654128cf72e5a16a480eb59fc1ad551d39f5d9,1.0,36.0,0.0,16.0,0,36.0,36.0,0,0
664c64e0aafeb828911e97d31077c913ae2dd79a,0.0,0.0,0.0,51.0,0,0.0,0.0,0,1
cc8332e9d99c08b77614e5acd7bd0e6d08dc29b6,5.0,80.0,5.0,43.0,1,85.0,17.0,0,0
9d98ad5e079b88fd9da87e47d55a11e465ab6bb0,1.0,33.0,0.0,40.0,1,33.0,33.0,0,0
ef0dc1800f7558abbefe070f361b97b9161b2452,8.0,215.0,75.0,48.0,1,290.0,36.25,1,0
6c095deda51efb34cd18bd23411ebd6f2a0cdfe0,1.0,2.0,2.0,32.0,1,4.0,4.0,0,0
133920c83bf78db17631b637b8b2ffabcb26f3d4,1.0,1.0,1.0,17.0,1,2.0,2.0,0,0
7829e6ec98f9c84159dcb2aa9fb210b88d97dd33,1.0,1.0,1.0,99.0,0,2.0,2.0,0,0
9d19b77acf413de77b39ed1c6d972fb1e5fef1c3,15.0,147.0,3.0,82.0,1,150.0,10.0,0,0
